USERID,BIRTHYEAR,SEX,DEPT,OCCUPATION,CODE01,REDR_TYPE_NAME
726ef0bae0b454f605e8b7c0c715eeb7,1996.0,女,统计学院,经济统计学,2014,本科生
34b6a3beffcd2c2c8f2c2523f0e190bc,1996.0,女,萨里国际学院,工商管理(跨国公司),2015,本科生
cba44c4edce62efeb85479a4bf07d873,1990.0,女,会计学院,会计学院,2012,教师
7c13f4b6e0e588e4d570cf40fd28ba82,1996.0,女,公共管理学院,行政管理,2014,本科生
6fc3c6e123d7e4da8afd922f0d35071b,1993.0,女,工商管理学院,企业管理,2015,研究生
e1aa04cbd0636ec6afc3092aa90844c9,1985.0,男,产业组织与企业组织研究中心,产业组织与企业组织研究中心,2009,教师
716cc97f06ebcb6b4d5f1cfd8606035e,1995.0,女,萨里国际学院,工商管理(跨国公司),2014,本科生
37ab03585dba4dad9f8668327179f7aa,1995.0,女,管理科学与工程学院,信息管理与信息系统,2014,本科生
67c5b775a0d6a37d239a678e5d4b3d40,1998.0,男,会计学院,工商管类(含会计学、财务管理和资产评估),2016,本科生
1e252efdc904b632f87d367fb3f86134,1996.0,女,金融学院,金融工程,2018,研究生
b6559c0c23acc4260dcf578fc342e6f5,1994.0,女,国际商学院,金融学(国际商学院专业),2013,本科生
827046441dc8b89d9218750e32cbd5d7,2000.0,男,国际经济贸易学院,国际经济与贸易,2018,本科生
98a5aed271b2053d0fd1f30d06bda0fd,1994.0,男,国际商学院,会计学(国际商学院专业),2013,本科生
7672b91d577615e2f161e4198567578c,1991.0,男,公共管理学院,区域经济学,2016,研究生
5b70bbd797937ed1d60397f655c56a29,1996.0,女,会计学院,财务管理,2013,本科生
ddd8226e44c6e62c370bb2e5a533d922,1981.0,女,管理科学与工程学院,,2007,教工
43a8177444dab220f6043f00e160cc0c,1993.0,女,法学院,法学,2015,研究生
00277364fceedd792e3e6814637ab281,1996.0,女,萨里国际学院,工商管理(跨国公司),2015,本科生
e7bcb6d940a251f41e81459570876d84,1992.0,男,公共管理学院,行政管理,2016,研究生
1e08ff489d4ea3b1a2c349f2cea88c91,1994.0,男,高等职业技术学院,金融学,2016,本科生
53589a370a6c3d5e821f2a57c54c49ea,1998.0,女,萨里国际学院,工商管理(跨国公司),2016,本科生
ea3fb04f2b34105bf4982b66365b54d7,1993.0,女,会计学院,新闻学(经济新闻方向),2015,研究生
f600ef616df3306bfcbdd6ffcd95da11,1994.0,女,金融学院,金融学,2013,本科生
b21f23f2ffa6f9ba488f234fe65c1c9d,1994.0,女,人文与传播学院,新闻与传播,2016,研究生
d70c33d7e46f0bee5abca82798b1e644,1995.0,男,会计学院,会计学,2013,本科生
9d60f3d577885ca9b186580e5a969bd4,1999.0,男,国际商学院,会计学(国际商学院专业),2017,本科生
c576e3f2b19913688600a1089d0dde52,1999.0,女,国际经济贸易学院,国际经济与贸易,2018,本科生
83108c08c228ac0c8f84b0eb06a93a1d,1995.0,男,金融学院,金融工程,2013,本科生
93e8060aef841c6c4097c6d1fdc17781,1993.0,女,会计学院,会计,2017,研究生
8246752462010814e46c051c06c0df7a,1996.0,女,公共管理学院,劳动与社会保障,2014,本科生
9e2261c1d393a70657afa4de79831531,1990.0,女,会计学院,会计学,2015,研究生
e9f149476c2138b690bdba623a3387d1,1991.0,男,统计学院,应用统计硕士,2015,研究生
13a8271d4f92850ac2c9b373c1888b2d,1991.0,女,会计学院,会计学,2016,研究生
8ea15821945bf0a90508cfab74d88cae,1998.0,男,数据科学与人工智能学院,统计学,2017,本科生
3b65f7411f006c69469fceb47a0176e3,2000.0,女,金融学院,金融学类(含金融学、金融工程、保险学和投资学),2018,本科生
5f636287ddf465addf48d2da9d43507a,1998.0,女,财政税务学院,财政学类(含财政学和税收学),2016,本科生
a2ac6cf5a8031eb712631dd60e210335,1995.0,女,会计学院,会计学,2013,本科生
8b1992ddf521d806cbeb033164561b3f,1989.0,男,人文与传播学院,新闻与传播,2017,研究生
95d72c9fcbfdfcf9f0184b841df46d0e,,女,国际商学院,会计学,2014,本科生
045856284944c2579615dcc27a6681aa,1990.0,女,法学院,国际法学,2014,研究生
8071ccfcdbf813b6ebaa2f958162b921,1990.0,女,国际经济贸易学院,国际贸易学,2015,研究生
f2b7b8b7edf974cf8af6395428d4dd06,1999.0,女,萨里国际学院,工商管理(跨国公司),2017,本科生
6ae495cbee1d5d27b2fbb222e4027e5f,1994.0,女,应用金融与行为科学学院,金融学(行为金融学方向),2013,本科生
63dae944be100c4bf6ee92099a9b2c08,1995.0,女,工商管理学院,人力资源管理,2014,本科生
6635f8ebd4109a7e26c6105eecad5e01,1996.0,男,国际经济贸易学院,国际经济与贸易,2013,本科生
1c60b224cbdb3d713b8ff279d4325623,1995.0,女,财政税务学院,财政学,2013,本科生
71915f2e90d313ac6380b17086db3de7,1996.0,女,会计学院,会计学(国际会计方向CPA),2014,本科生
a8ea486c0fbb26d2cb428f9dff58eae3,1988.0,男,工商管理学院,MBA,2016,研究生
fd90a6dffc1bdd6ed0d465d630e17e8f,1993.0,女,高等职业技术学院,财务管理,2015,本科生
ba24a6dafa23c7e73276b490cf31ce3a,1999.0,女,萨里国际学院,旅游管理(休闲与服务管理方向),2017,本科生
cddd2dbb8d1670241d0fe4431f519597,1996.0,女,管理科学与工程学院,计算机科学与技术,2014,本科生
1b37883435494143a4caa6bdbeea4d42,1995.0,女,会计学院,会计学,2013,本科生
0f7102b9b0a43c9de52610668f0d192b,1996.0,女,管理科学与工程学院,计算机科学与技术,2015,本科生
8962df6ed94cd9d6cb072b7db1460648,1997.0,女,萨里国际学院,工商管理(跨国公司),2014,本科生
3e3513533a3e4a91d0be0473a3e66597,1993.0,男,金融学院,金融学,2013,本科生
216737c96c92c51d43bbe9ca729774e0,1995.0,男,金融学院,金融工程,2013,本科生
e92ea209af546458baca510176704276,1997.0,女,萨里国际学院,旅游管理(休闲与服务管理方向),2014,本科生
bc051eb55642106f157fab9e0e585ea0,1988.0,男,工商管理学院,MBA,2015,研究生
7b4cdfed2eae6b54ff971b9f22f6f4ad,1996.0,女,会计学院,财务管理,2013,本科生
a94557b547d9a7c718bd732ced9a6d1a,2000.0,男,统计学院,经济统计学,2018,本科生
3677f844a14aacf479c936a9de826d60,1997.0,男,会计学院,会计学,2020,研究生
c33826539cb25fc0284fcadb3f0c75a5,2000.0,女,会计学院,会计学(国际会计方向),2019,本科生
9afba9c0fd83f8d2280ad23e2c937cd0,1997.0,女,公共管理学院,行政管理,2020,研究生
edbd44c1cd238784594444294f69b2a4,2001.0,女,投资工程管理学院,管理科学与工程类(含工程管理和房地产开发与管理),2019,本科生
80e1bd5737e6ac48d206a722df8cf715,2003.0,女,工商管理学院,物流管理,2020,本科生
56632751e5762aa8678000f8e64aea4c,2001.0,女,经济学院,经济学,2018,本科生
bed4cff48ac127dde4412139dbea70d4,2002.0,女,国际商学院,金融学,2020,本科生
a6543010a84cbef0b7a43fe2095571b9,1999.0,女,高等职业技术学院,国际经济与贸易,2020,本科生
6f19afb48da2d4ae4cbb7014461a6958,1996.0,女,人文与传播学院,新闻学,2020,研究生
186b039f3a0d3bdceec418a79e34bf79,1996.0,女,人文与传播学院,新闻与传播,2019,研究生
9a8d88013b778232caf4e42e1ef29eb9,1997.0,女,财政税务学院,财政学,2020,研究生
0d540d1e385c31d5dff4888f693a400e,2002.0,男,金融学院,金融学类(含金融学、金融工程、保险学和投资学),2019,本科生
3c4dc61628485fd0d05ec843a6a16d7c,2002.0,女,工商管理学院,物流管理,2019,本科生
187618211e8513f3f67c90f945060b03,1998.0,女,金融学院,金融学类(含金融学、金融工程、保险学和投资学),2017,本科生
c3237a1d3f2e31b64f8938a860df0fc1,1997.0,女,工商管理学院,旅游管理(休闲与服务管理方向),2020,研究生
175d73851bf8171fab211e8caa15e1d1,2000.0,女,国际商学院,跨境教育,2018,本科生
14b9db762915d979247811ffbc3679cb,1999.0,女,管理科学与工程学院,电子商务,2017,本科生
90e2da8f3087c0cb57198cb23e55cf0a,1997.0,男,应用金融与行为科学学院,金融学,2020,研究生
4f81f70c8caa77e085388b106cb70bef,1997.0,女,投资工程管理学院,国民经济学,2020,研究生
12d77a651155cc8d342c3e44ce42acac,1995.0,女,经济学院,数量经济学,2019,研究生
a199bd7de26d66a5ace21e4409971c13,1998.0,男,会计学院,会计学,2020,研究生
b657ea5d00aeda42bc83033bfe580d59,2001.0,男,国际商学院,金融学,2019,本科生
a399368ef8bfe4ae10b1722c0d15f768,2000.0,女,萨里国际学院,工商管理(萨里国际学院专业),2019,本科生
79616c8e72247f160d03bd8ee869c00c,1998.0,女,高等职业技术学院,国际经济与贸易,2020,本科生
be97b11c7e67068442a397c09ff12123,1996.0,女,财政税务学院,税收学,2018,研究生
8d5b17d46af2f41aaff032ecafd6ed4f,1997.0,女,投资工程管理学院,工程管理,2019,研究生
40a12447acaf1a76dce2b5c937cc4e47,1998.0,女,统计学院,经济统计学,2016,本科生
6b3bb8217060acb2b1d19ce691e22721,2001.0,男,金融学院,金融学类(含金融学、金融工程、保险学和投资学),2019,本科生
6ff5aaaf3ca77be6b6e6c94a3773f2c1,1998.0,女,会计学院,会计学,2019,研究生
269d7849d951dfd38655aea5af8bd302,1998.0,女,会计学院,工商管类(含会计学、财务管理和资产评估),2017,本科生
381954e9293e416216d2e2945b26fbaa,2001.0,男,工商管理学院,工商管理类(含工商管理、市场营销和人力资源管理),2020,本科生
29eb952fa6262621c6222b0716a49dd9,1996.0,女,金融学院,金融,2018,研究生
2f0662e1c6a3b49f24de938860e2a385,2002.0,女,萨里国际学院,财务管理(萨里国际学院专业),2020,本科生
b81eb43afb9d2449788250ecf8644de4,,男,其他,,2015,本科生
71f4073007db41715621cc7f8fe79dc7,2000.0,女,财政税务学院,财政学类(含财政学和税收学),2019,本科生
5921d37908764e656e55f705375e545d,1997.0,女,高等职业技术学院,国际经济与贸易,2019,本科生
654fa2ada8730162b3fee4d0aac018b2,1995.0,女,法学院,法律(法学),2018,研究生
a416bd563d5930940c2d5aceaca56ea0,1999.0,女,萨里国际学院,工商管理(跨国公司),2017,本科生
2f45bffffc7edb2301ae8cb433f09db9,1997.0,女,国际经济贸易学院,国际贸易学,2020,研究生
3efc5325f1bee95df4a3e41ac21b0a6c,1997.0,女,公共管理学院,教育经济与管理,2020,研究生
fe15cb1cf780961f989307ea0d03cf0b,2002.0,女,统计学院,经济统计学,2020,本科生
974514839aea41f30bcb493093441955,1999.0,女,高等职业技术学院,信息管理与信息系统,2020,本科生
f85fa93863cab9c36942a402e1df492b,1997.0,女,管理科学与工程学院,信息管理与信息系统,2015,本科生
4f6d8786fe3cd23cce5f94b077dd4357,2000.0,女,国际商学院,金融学(国际商学院专业),2018,本科生
d3f7048cb62c871d2768afccaf0aee09,1994.0,男,管理科学与工程学院,工程管理,2020,研究生
db97b519625505fdebd08814f1d7fef6,1996.0,男,高等职业技术学院,旅游管理,2019,本科生
71b1e944a73442ca60b140ebceaf41a2,2001.0,女,萨里国际学院,财务管理(萨里国际学院专业),2019,本科生
279363bf4400078cb0dab245d6e988f4,1999.0,女,工商管理学院,工商管理类(含工商管理、市场营销和人力资源管理),2017,本科生
9564207f887c4f69e68fd3ba0b1c4576,1999.0,女,高等职业技术学院,财务管理,2020,本科生
1a4069ad183a31dd61764a1c817f03f3,2001.0,女,萨里国际学院,工商管理(萨里国际学院专业),2019,本科生
8322cf48e10471ebc22fb47d7a530320,1998.0,男,高等职业技术学院,金融学,2020,本科生
0ce793a9a4d74429c23d3f667851d2c3,1996.0,女,统计学院,应用统计,2020,研究生
ed6adee5cab5f816e019e4fb0f46f660,1995.0,女,会计学院,会计,2018,研究生
e9473fbc8ed44bb98c2d069161274bbf,1995.0,女,国际商学院,金融,2019,研究生
02b20af42a3788c8bc5511c023d8764d,2001.0,女,国际商学院,会计学(与英国奥斯特大学合作办学项目),2020,本科生
e180ec9fbb54e33a9c7adb8139f5a358,1997.0,女,财政税务学院,财政学,2020,研究生
a4dabddb60efd25fa0eae942e7a4cc40,1996.0,女,国际商务外语学院,英语笔译,2020,研究生
34a3cfa7d2571db457dcee043bfb58dc,1997.0,女,萨里国际学院,工商管理(跨国公司),2019,研究生
89b520c2414206ce753e36a10d037f17,2000.0,女,萨里国际学院,工商管理(萨里国际学院专业),2019,本科生
ff8eb861cbcd8ec0e873a815db18c5cf,2001.0,女,管理科学与工程学院,管理科学与工程类(含管理科学、信息管理与信息系统和大数据管理与应用),2019,本科生
2245b08092e184454285eb50183f87d4,2001.0,女,会计学院,工商管类(含会计学、财务管理和资产评估),2020,本科生
3d4282552170680ec8cbf66f4b07f76b,1994.0,女,马克思主义学院,马克思主义中国化研究,2018,研究生
8ea00ae0992e3a017572be44a1117cb8,1997.0,男,高等职业技术学院,信息管理与信息系统,2020,本科生
ad3fd3297874548b97569cc01d4db532,2001.0,男,统计学院,经济统计学,2019,本科生
11a2925e5f785d80edfe2f1548d22323,1992.0,男,公共管理学院,,2019,教师
ec1800d7e0e4ea77f0bd5feb2b458867,1997.0,女,高等职业技术学院,会计学,2018,本科生
8232252ae106c728633099e10f4592dd,1997.0,女,高等职业技术学院,国际经济与贸易,2020,本科生
194063b7b450dc6cae6e7049fdfed44a,1993.0,女,统计学院,应用统计,2018,研究生
632e8fca6dcdf4709ecf9f8f82b48237,1992.0,女,投资工程管理学院,工程管理,2020,研究生
31def8c01fd84a3bdc84175400993b74,1995.0,女,会计学院,房地产开发与管理,2019,研究生
66b20e85475b9a36db3cda012c0f3b06,1995.0,男,高等职业技术学院,旅游管理,2020,本科生
a4af311d3eb35da0b584c15e4d9a14d1,1998.0,女,会计学院,财务管理,2020,研究生
7c7bc05b880310342b48889a99e0c69f,2002.0,女,公共管理学院,公共管理类(含公共事业管理、行政管理和劳动与社会保障),2020,本科生
db96a0cd5496f862730fb1d1bab25669,1995.0,女,会计学院,会计学(国际会计方向CPA),2018,研究生
18dcf969b1558fe4e54b33bfbec5175e,1993.0,女,国际商务外语学院,英语笔译,2018,研究生
931269b8263c57963cc2e24acf85586c,2002.0,女,投资工程管理学院,管理科学与工程类(含工程管理和房地产开发与管理),2020,本科生
0ebe39a199856da8011a84f62847e5b1,1996.0,男,萨里国际学院,工商管理(跨国公司),2015,本科生
2d3def66d3b7363e353921306975f90e,2000.0,女,国际商务外语学院,商务英语,2019,本科生
d12ac895489fa629ed15447b879a40f1,2002.0,女,工商管理学院,工商管理类(含工商管理、市场营销和人力资源管理),2020,本科生
48f4c8aafec0716e7efd6595803f9d5a,1999.0,女,公共管理学院,公共事业管理,2019,本科生
2a0d44751a7af8ed1e70c10926b75517,2000.0,女,数据科学与人工智能学院,统计学,2018,本科生
b6835484ce97019bcfe9ee8bf1b1fbaa,2002.0,女,会计学院,会计学(注册会计师方向和创新人才培养实验),2020,本科生
64b609a6ae62bc46937874de45548fb8,1997.0,女,高等职业技术学院,财务管理,2019,本科生
827e7fe3104e244f937816f7b25ae358,2000.0,女,财政税务学院,税收学,2019,本科生
2307002b31a09c4f2d06f66b9f917105,1999.0,女,管理科学与工程学院,计算机科学与技术,2017,本科生
6daf5069d9265a2556b99a621eeb5f76,2001.0,男,金融学院,金融学类(含金融学、金融工程、保险学和投资学),2019,本科生
00212138a51cc50e18ee9d5c1e81caf5,1997.0,女,高等职业技术学院,财务管理,2019,本科生
904f5cf7cdbc1d3450e775a87721a7b6,1997.0,女,金融学院,金融学,2019,研究生
e62981d914319868e60b6fb6153e1310,1998.0,女,萨里国际学院,工商管理(跨国公司),2016,本科生
1a3fd9c6616884c230c894036b5a2a1a,1990.0,男,工商管理学院,MBA,2016,研究生
f419a4cdd6b9e3a75cdfc85125197999,1997.0,女,财政税务学院,税务,2019,研究生
77de12179390f4a6179424f8ae1a0fa4,1998.0,女,高等职业技术学院,国际经济与贸易,2019,本科生
e563724e5efe4ea54e811d678beff2e2,1999.0,女,高等职业技术学院,财务管理,2020,本科生
d34e7c59bf61280ff253719c7791bc59,2000.0,男,萨里国际学院,工商管理(萨里国际学院专业),2018,本科生
